question,context,selected_answer,selected_answer_idx,is_correct,confidence,correct_answers,correct_answers_text,correct_answers_idx
Кем работал отец Вадима последние пятнадцать лет?,"Прощаясь с Вадимом, отец сказал: − Главное − крепко верить, сынок. Вылитый Пётр Андреевич! И, сильно, по-мужски, сжав руку Вадима, добавил вполголоса: − Мать береги! Последние пятнадцать лет он работал директором школы. А Вера Фадеевна, улыбаясь грустно и сдержанно, отвечает: − Да, много общего есть… Сам он был спокоен, говорил шутливо: − Я же с немцами третий раз встречаюсь. Вадиму приятно это слышать: ему хочется быть похожим на отца.",Директор школы.,49,True,0.8294476866722107,"[{'text': 'Директор школы.', 'idx': 49}, {'text': 'Директор.', 'idx': 50}]","['Директор школы.', 'Директор.']","[49, 50]"
В который раз отец Димы шёл на войну?,"И ‚ ‚ когда отец вместе с другими ополченцами уезжал на фронт − это было в июле, на Белорусском вокзале, − провожать его пришло много учителей и школьной молодёжи. Сам он был спокоен, говорил шутливо: − Я же с немцами третий раз встречаюсь. Вадиму непривычно и странно было видеть отца в тяжёлых солдатских сапогах, со скаткой шинели на плече, в пилотке. Прощаясь с Вадимом, отец сказал: − Главное − крепко верить, сынок. Отец погиб в начале войны, в декабре сорок первого года. Это была его третья война, хотя профессия у отца была самая мирная − учитель. Они стояли вокруг отца шумной, тесной толпой, говорили, перебивая друг друга, тёплые прощальные слова, а завуч, седенькая старушка в очках, даже всплакнула, и отцу пришлось утешать её.",В шестой раз.,56,False,0.8167106509208679,"[{'text': 'В третий.', 'idx': 53}, {'text': 'Уже в третий раз.', 'idx': 55}]","['В третий.', 'Уже в третий раз.']","[53, 55]"
"Кто сообщил о победе ""Рубина"" над "" Томью со светом 2:1?","Казанский ""Рубин"" одержал домашнюю победу над томской ""Томью"" в матче 16-го тура чемпионата России по футболу. Казанский ""Рубин"" после победы над ""Томью"" переместился на второе место, обогнав московский ЦСКА. Новосибирская ""Сибирь"" уступила на своем поле подмосковному ""Сатурну"" со счётом 0:1, а владикавказская ""Алания"" с таким же счётом обыграла у себя дома ""Спартак"" из Нальчика. 8 августа должны были состояться ещё две встречи: ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"". В настоящее время лидером чемпионата России является ""Зенит"" из Санкт-Петербурга, набравший 39 очков. Встреча, которая прошла в воскресенье, 8 августа, завершилась со счётом 2:1 в пользу казанцев. Уже через минуту нападающий ""Томи"" Артем Дзюба сравнял счёт.",Александр Рязанцев.,57,False,0.60600745677948,"[{'text': 'РФПЛ.', 'idx': 58}]",['РФПЛ.'],[58]
Какие две встречи были перенесены?,"Помимо этого в воскресенье в рамках 16-го тура чемпионата России по футболу состоялись ещё две встречи. 8 августа должны были состояться ещё две встречи: ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"". Казанский ""Рубин"" одержал домашнюю победу над томской ""Томью"" в матче 16-го тура чемпионата России по футболу. Встреча, которая прошла в воскресенье, 8 августа, завершилась со счётом 2:1 в пользу казанцев. Об этом сообщается на официальном сайте Российской футбольной премьер-лиги (РФПЛ). Счёт в матче был открыт на 36 минуте - в составе ""Рубина"" отличился полузащитник Александр Рязанцев. Однако эти матчи были перенесены на неопределённый срок из-за неблагоприятной экологической обстановки в Москве.""","Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".",60,True,0.984483003616333,"[{'text': 'Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".', 'idx': 60}]","['Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".']",[60]
"Как закончился матч 16-го тура чемпионата России по футболу в игре ""Рубин"" - ""Томь""?","Казанский ""Рубин"" одержал домашнюю победу над томской ""Томью"" в матче 16-го тура чемпионата России по футболу. 8 августа должны были состояться ещё две встречи: ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"". Казанский ""Рубин"" после победы над ""Томью"" переместился на второе место, обогнав московский ЦСКА. В настоящее время лидером чемпионата России является ""Зенит"" из Санкт-Петербурга, набравший 39 очков. Помимо этого в воскресенье в рамках 16-го тура чемпионата России по футболу состоялись ещё две встречи. Новосибирская ""Сибирь"" уступила на своем поле подмосковному ""Сатурну"" со счётом 0:1, а владикавказская ""Алания"" с таким же счётом обыграла у себя дома ""Спартак"" из Нальчика. Об этом сообщается на официальном сайте Российской футбольной премьер-лиги (РФПЛ).",Футболисты из Томска сравняли счет.,61,False,0.5049230456352234,"[{'text': '2:1 в пользу ""Рубина"".', 'idx': 62}, {'text': 'завершился со счётом 2:1 в пользу казанского ""Рубина"".', 'idx': 63}]","['2:1 в пользу ""Рубина"".', 'завершился со счётом 2:1 в пользу казанского ""Рубина"".']","[62, 63]"
"Какие встречи должны были состояться 8 августа, но перенесены?","8 августа должны были состояться ещё две встречи: ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"". Помимо этого в воскресенье в рамках 16-го тура чемпионата России по футболу состоялись ещё две встречи. Однако эти матчи были перенесены на неопределённый срок из-за неблагоприятной экологической обстановки в Москве."" Встреча, которая прошла в воскресенье, 8 августа, завершилась со счётом 2:1 в пользу казанцев. Казанский ""Рубин"" одержал домашнюю победу над томской ""Томью"" в матче 16-го тура чемпионата России по футболу. Новосибирская ""Сибирь"" уступила на своем поле подмосковному ""Сатурну"" со счётом 0:1, а владикавказская ""Алания"" с таким же счётом обыграла у себя дома ""Спартак"" из Нальчика. Казанский ""Рубин"" после победы над ""Томью"" переместился на второе место, обогнав московский ЦСКА.","Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".",67,True,0.984483003616333,"[{'text': 'Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".', 'idx': 67}, {'text': 'перенесены встречи ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".', 'idx': 68}]","['Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".', 'перенесены встречи ""Динамо"" - ЦСКА и ""Спартак"" - ""Зенит"".']","[67, 68]"
О чём идёт речь в начале текста?,"Но неужели всё так безнадёжно? Казалось бы, что за беда? Всё лучше, чем пьянствовать. Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Живая книга чудом пробивается к читателю. Но не так-то всё просто. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет.","Речи идёт о книгах, без которых не возможно жить.",70,True,0.5926605463027954,"[{'text': 'Речи идёт о книгах, без которых не возможно жить.', 'idx': 70}, {'text': 'В тексте повествуется про важные книги.', 'idx': 71}]","['Речи идёт о книгах, без которых не возможно жить.', 'В тексте повествуется про важные книги.']","[70, 71]"
Какая метафора используется в тексте?,"Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? Казалось бы, что за беда? И диктат рынка ей не слишком большая помеха. (По В. Иванову). Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Живая книга чудом пробивается к читателю. И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет.",Эта метафора - литературный попкорн.,78,True,0.602881908416748,"[{'text': 'Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу.', 'idx': 74}, {'text': 'Эта метафора - литературный попкорн.', 'idx': 78}]","['Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу.', 'Эта метафора - литературный попкорн.']","[74, 78]"
Без чего потенциальным читателям трудно жить?,"Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? Казалось бы, что за беда? Есть книги, без которых можно спокойно прожить. А есть книги, без которых жить трудно. Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Живая книга чудом пробивается к читателю. И диктат рынка ей не слишком большая помеха. (По В. Иванову).",Без литературного попкорна.,82,False,0.5585045218467712,"[{'text': 'Без живой книги.', 'idx': 80}, {'text': 'Трудно жить без живых книг.', 'idx': 81}]","['Без живой книги.', 'Трудно жить без живых книг.']","[80, 81]"
Как диктат рынка влияет на живую книгу?,"Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? И диктат рынка ей не слишком большая помеха. (По В. Иванову). Казалось бы, что за беда? Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. Всё лучше, чем пьянствовать. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет.",Пугает читателей.,86,False,0.5093122124671936,"[{'text': 'Продвигает коммерческую литературу.', 'idx': 84}, {'text': 'Подменяет живую книгу коммерческой литературой.', 'idx': 88}]","['Продвигает коммерческую литературу.', 'Подменяет живую книгу коммерческой литературой.']","[84, 88]"
"Почему становится всё больше читателей, которые потеряны для литературы?","Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? И таких читателей становится всё больше. Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. А есть книги, без которых жить трудно. И диктат рынка ей не слишком большая помеха. (По В. Иванову). Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет.",Читатели такими рождаются.,90,False,0.4930281639099121,"[{'text': 'Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Есть книги, без которых можно спокойно прожить. А ещё есть телевизор, есть газеты, есть компьютерные стрелялки.', 'idx': 91}, {'text': 'Потому что в юности им не попалась книга, перепахавшая душу. Они привыкли к литературному попкорну и читают его, не доходя до животворной литературы.', 'idx': 93}]","['Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Есть книги, без которых можно спокойно прожить. А ещё есть телевизор, есть газеты, есть компьютерные стрелялки.', 'Потому что в юности им не попалась книга, перепахавшая душу. Они привыкли к литературному попкорну и читают его, не доходя до животворной литературы.']","[91, 93]"
"Что должна сделать с читателем в юности книга, чтобы открыть ему путь в большую литературу?","Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет. Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. И диктат рынка ей не слишком большая помеха. (По В. Иванову). Казалось бы, что за беда? А есть книги, без которых жить трудно.",Перепахать ему душу.,97,True,0.7814396619796753,"[{'text': 'Перепахать душу, иначе читатель для литературы потерян.', 'idx': 96}, {'text': 'Перепахать ему душу.', 'idx': 97}]","['Перепахать душу, иначе читатель для литературы потерян.', 'Перепахать ему душу.']","[96, 97]"
О каких шедеврах идет речь в эссе?,"В каждом шедевре заключается то, что никогда не может примелькаться, – совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё, что окружает нас и вовне, и в нашем внутреннем мире. Каждая встреча с любым шедевром – прорыв в блистающий мир человеческого гения. Жажда достигнуть всё более высоких пределов, жажда совершенства движет жизнь. Шедевры поэзии! Шедевры кисти и резца, мысли и воображения! И рождает шедевры. Шедевры!",Шедевры загадочных чёрных пространств.,103,False,0.7369996905326843,"[{'text': 'Шедевры кисти и резца, мысли и воображения, шедевры поэзии.', 'idx': 99}, {'text': 'Шедевры мысли и воображения, шедевры поэзии, шедевры скульптуры и живописи.', 'idx': 101}]","['Шедевры кисти и резца, мысли и воображения, шедевры поэзии.', 'Шедевры мысли и воображения, шедевры поэзии, шедевры скульптуры и живописи.']","[99, 101]"
Что заключается в каждом шедевре?,"Каждая встреча с любым шедевром – прорыв в блистающий мир человеческого гения. В каждом шедевре заключается то, что никогда не может примелькаться, – совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё, что окружает нас и вовне, и в нашем внутреннем мире. И рождает шедевры. Шедевры поэзии! Шедевры! Она вызывает изумление и радость. Шедевры кисти и резца, мысли и воображения!","Совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё, жажда достигнуть всё более высоких пределов, жажда совершенства.",107,True,0.597507894039154,"[{'text': 'Жажда достигнуть всё более высоких пределов, жажда совершенства, совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё.', 'idx': 106}, {'text': 'Совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё, жажда достигнуть всё более высоких пределов, жажда совершенства.', 'idx': 107}]","['Жажда достигнуть всё более высоких пределов, жажда совершенства, совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё.', 'Совершенство человеческого духа, сила человеческого чувства, моментальная отзывчивость на всё, жажда достигнуть всё более высоких пределов, жажда совершенства.']","[106, 107]"
С чем Виктор Вексельберг сравнил проект иннограда?,"Глава фонда ""Сколково"" Виктор Вексельберг сравнил проект иннограда с понятием ""долина смерти"" в венчурном бизнесе, передает ""Интерфакс"". По словам Вексельберга, в иннограде удалось создать сбалансированную систему государственного управления. ""Сколково"", располагающееся в одноименном подмосковном поселке - один из главных проектов президента России Дмитрия Медведева, провозгласившего курс на модернизацию страны. Закон о создании иннограда был принят Госдумой в сентябре 2010 года. Вексельберг добавил, что самым ""узким местом"" иннограда является коммерциализация его проектов. По словам Вексельберга, данное определение ""Сколково"" подходит и в прямом, и в переносном смысле. ""Сколково"" должно стать российским аналогом Кремниевой долины в США.","С понятием ""долина смерти"".",111,True,0.6813792586326599,"[{'text': 'С понятием ""долина смерти"".', 'idx': 111}, {'text': 'Виктор Вексельберг сравнил проект иннограда с понятием ""долина смерти"".', 'idx': 113}]","['С понятием ""долина смерти"".', 'Виктор Вексельберг сравнил проект иннограда с понятием ""долина смерти"".']","[111, 113]"
"Кто является главой фонда ""Сколково""""?","По оценке Вексельберга, финансирование проекта ""Сколково"" потребует 180-200 миллиардов рублей за три года."" ""Сколково"", располагающееся в одноименном подмосковном поселке - один из главных проектов президента России Дмитрия Медведева, провозгласившего курс на модернизацию страны. ""Сколково"" должно стать российским аналогом Кремниевой долины в США. Глава фонда ""Сколково"" Виктор Вексельберг сравнил проект иннограда с понятием ""долина смерти"" в венчурном бизнесе, передает ""Интерфакс"". Вексельберг добавил, что самым ""узким местом"" иннограда является коммерциализация его проектов. В Подмосковье уже согласились работать сразу несколько крупных мировых компаний, включая Microsoft, Nokia и Philips. Для достижения этой цели он считает крайне важным привлечь к участию к деятельности ""Сколково"" крупные корпорации.",Виктор Вексельберг.,116,True,0.9222036004066467,"[{'text': 'Глава фонда ""Сколково"" Виктор Вексельберг"".', 'idx': 114}, {'text': 'Виктор Вексельберг.', 'idx': 116}]","['Глава фонда ""Сколково"" Виктор Вексельберг"".', 'Виктор Вексельберг.']","[114, 116]"
Каким компаниям предоставят налоговые льготы?,"Им предоставят налоговые льготы. Закон о создании иннограда был принят Госдумой в сентябре 2010 года. В Подмосковье уже согласились работать сразу несколько крупных мировых компаний, включая Microsoft, Nokia и Philips. ""Сколково"", располагающееся в одноименном подмосковном поселке - один из главных проектов президента России Дмитрия Медведева, провозгласившего курс на модернизацию страны. Государство предоставляет средства на проект в формате договора о субсидиях. По словам Вексельберга, в иннограде удалось создать сбалансированную систему государственного управления. Глава фонда ""Сколково"" Виктор Вексельберг сравнил проект иннограда с понятием ""долина смерти"" в венчурном бизнесе, передает ""Интерфакс"".","Microsoft, Nokia и Philips получат налоговые льготы.",119,True,0.7754053473472595,"[{'text': 'Microsoft, Nokia и Philips получат налоговые льготы.', 'idx': 119}, {'text': 'Согласилось сразу несколько крупных мировых компаний, одна из них Nokia.', 'idx': 122}]","['Microsoft, Nokia и Philips получат налоговые льготы.', 'Согласилось сразу несколько крупных мировых компаний, одна из них Nokia.']","[119, 122]"
